# Constructed from biom file
#OTU ID	Cleland-R10	Cleland-R11	Cleland-R12	Cleland-R13	Cleland-R14	Cleland-R15	Cleland-R16	Cleland-R17	Cleland-R18	Cleland-R19	Cleland-R1	Cleland-R20	Cleland-R21	Cleland-R22	Cleland-R23	Cleland-R24	Cleland-R28	Cleland-R29	Cleland-R2	Cleland-R30	Cleland-R31	Cleland-R32	Cleland-R33	Cleland-R34	Cleland-R35	Cleland-R36	Cleland-R37	Cleland-R38	Cleland-R39	Cleland-R3	Cleland-R40	Cleland-R41	Cleland-R42	Cleland-R43	Cleland-R44	Cleland-R45	Cleland-R46	Cleland-R47	Cleland-R48	Cleland-R49	Cleland-R4	Cleland-R50	Cleland-R51	Cleland-R52	Cleland-R53	Cleland-R54	Cleland-R55	Cleland-R56	Cleland-R57	Cleland-R58	Cleland-R59	Cleland-R5	Cleland-R6	Cleland-R7	Cleland-R8	Cleland-R9	sample-17	sample-18	sample-22	sample-24	sample-27	sample-2	sample-31	sample-34	sample-35	sample-39	sample-42	sample-46	sample-49	sample-4	sample-50	sample-53	sample-56	sample-57	sample-61	sample-64	sample-66	sample-70	sample-8	sample-9
0232ab1959272d7ebb1f1ad070d9f905	832.0	2104.0	2537.0	5973.0	10323.0	20445.0	4317.0	101.0	187.0	96.0	0.0	490.0	87.0	60.0	176.0	175.0	552.0	2152.0	0.0	298.0	2336.0	1885.0	1224.0	2094.0	3192.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	12732.0	2521.0	1131.0	2145.0	17786.0	2539.0	0.0	2391.0	4956.0	1270.0	1109.0	316.0	748.0	628.0	3054.0	411.0	724.0	71.0	0.0	0.0	0.0	1086.0	191.0	75.0	2242.0	879.0	228.0	471.0	758.0	11.0	715.0	4916.0	5297.0	95.0	0.0	214.0	165.0	2.0	71.0	4240.0	927.0	2672.0	0.0	555.0	6725.0	212.0
f7096095dcd89568370abef043d2652f	656.0	1088.0	1740.0	4566.0	2439.0	4275.0	1381.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	386.0	18.0	11.0	46.0	23.0	8.0	36.0	29.0	21.0	11.0	13055.0	16815.0	49.0	18.0	4.0	18.0	0.0	39.0	10516.0	4.0	3703.0	16.0	40.0	42888.0	12.0
a0f37a9a0fc5ad330e1970c641a95d0e	646.0	600.0	1035.0	111.0	750.0	402.0	805.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	970.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33c12fd798ba06fef726af2064fa8349	534.0	442.0	590.0	8281.0	2794.0	3015.0	6389.0	4796.0	1721.0	1767.0	848.0	4317.0	1769.0	523.0	5275.0	14536.0	463.0	4578.0	426.0	258.0	3132.0	156.0	1295.0	175.0	10896.0	6.0	9.0	23.0	46.0	57.0	90.0	21.0	95.0	23.0	8.0	11.0	7.0	10.0	9.0	4.0	225.0	18.0	351.0	280.0	574.0	283.0	207.0	161.0	141.0	284.0	1084.0	1488.0	142.0	5185.0	6738.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d0fbbc6908c2fffc575997074c5d6ee3	526.0	382.0	626.0	531.0	936.0	677.0	807.0	0.0	3.0	0.0	39.0	0.0	2.0	2.0	0.0	10.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	66.0	152.0	82.0	31.0	9.0	27.0	0.0	2.0	0.0	0.0	2.0	0.0	188.0	1.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	287.0	150.0	1139.0	330.0	936.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3afcfc5fdf190d03a44434bd5a069f7f	449.0	3.0	115.0	1259.0	2835.0	4898.0	5.0	0.0	2.0	0.0	3.0	2.0	2.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	3.0	121.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d426c1c43d3948c6c3cd545c716055c	444.0	1320.0	359.0	717.0	929.0	345.0	210.0	57.0	1223.0	339.0	0.0	91.0	406.0	136.0	1383.0	175.0	56.0	38.0	2.0	27.0	93.0	76.0	101.0	56.0	93.0	245.0	176.0	113.0	122.0	0.0	145.0	382.0	208.0	270.0	65.0	61.0	6.0	140.0	95.0	240.0	0.0	99.0	249.0	226.0	305.0	137.0	240.0	146.0	596.0	285.0	121.0	5.0	2.0	0.0	0.0	470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9a3354a6ea5d61772f0d6ea3d87db4ce	439.0	2068.0	541.0	675.0	1861.0	457.0	536.0	0.0	7.0	0.0	1237.0	3.0	5.0	3.0	3.0	34.0	41.0	46.0	575.0	33.0	97.0	78.0	107.0	85.0	78.0	1618.0	702.0	725.0	1526.0	1173.0	1299.0	1755.0	747.0	2572.0	2363.0	1030.0	134.0	587.0	2794.0	1585.0	297.0	2402.0	3243.0	512.0	534.0	244.0	242.0	220.0	457.0	301.0	626.0	858.0	382.0	3905.0	1115.0	968.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	315.0	0.0	42.0	0.0	0.0	112.0	0.0
eb066331fc74fbe020e08ae1c4380264	431.0	0.0	107.0	1124.0	3596.0	1964.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1fcaf4c50dd4f92323abf32a124b9751	425.0	115.0	517.0	1134.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
