"Genus","Immature","Mature"
"Pir4 lineage",0.00163634362082805,0.00209703745358094
"Pirellula",0.000966264697805149,NA
"Pragia",0.00136664899608843,0.00351753874746114
"Proteus",0.00218831616657753,0.00392182037775932
"Providencia",0.00355025562488061,0.00970734327466294
"Pseudomonas",0.00314494102922827,0.00390790356341675
"Pseudonocardia",0.00634727955021559,0.0072835894276774
"Psychrobacter",0.000755292122326712,0.000796527590449705
"Quadrisphaera",0.00198278899416341,0.00260474548758253
"Rhodococcus",0.00351662658163204,0.00176801985465513
"Rickettsia",0.000867290817784745,0.00102505921494922
"Rickettsiella",0.00594255364678643,0.01926496208216
"Rikenella",0.000996288001186804,0.000808837213634606
"Robinsoniella",0.000918874973839989,0.00187398488984622
"Romboutsia",0.000953460641951209,0.00156167842625303
"Roseomonas",0.00175658400741046,0.00146561222751033
"Rothia",0.00186092970396729,0.00153578073237144
"Rubellimicrobium",0.00100592783634121,NA
"Rubrobacter",0.00120358125027043,0.00171801429340845
"Ruminiclostridium 5",0.000853750896651842,0.00112795597611203
"Serratia",0.0160741675671205,0.0189884886759685
"Singulisphaera",0.00161824133496558,0.00121638801685578
"Solirubrobacter",0.000658231492031609,NA
"Sphingomonas",0.00248626801802929,0.004245724186638
"Staphylococcus",0.0082135810707193,0.00366397577816817
"Stenotrophomonas",0.00718925660240404,0.00895777123496751
"Streptomyces",0.00289908843952703,0.000968643152607732
"Tsukamurella",0.00251011005306766,0.00110724512642111
"Tyzzerella 3",0.000802313913652391,0.000714652159087817
"Weissella",0.000789289098214761,NA
"Williamsia",0.00273241495384211,0.0014975186246973
"Xanthomonas",0.00140403095225971,NA
"endosymbionts6",0.0225449988976738,0.00231895767809093
"metagenome",0.00111159809040017,0.00117834507161224
"uncultured",0.0457106265716243,0.0458992426294305
"uncultured Chloroflexi bacterium",0.00101306572954714,NA
"uncultured bacterium",0.0169682438810594,0.0158994307438501
"uncultured soil bacterium",0.00447950629915396,0.00434144337819893
"Candidatus Xiphinematobacter",NA,0.00115840129042839
"Cellulosilyticum",NA,0.00187376572741563
"Chryseobacterium",NA,0.00194517615271676
"Deinococcus",NA,0.00157992369859979
"GCA-900066225",NA,0.000865910763267865
"Jatrophihabitans",NA,0.000729043825363339
"Leuconostoc",NA,0.00198995834270101
"Mesorhizobium",NA,0.00114404615122463
"Pectobacterium",NA,0.00101061275806604
"Planctomicrobium",NA,0.000702488644189977
