genus,abundance,maturity,species
Collinsella,0.00450859794586672,Mature,Hyena
Coprococcus_3,0.00338077708717926,Immature,Hyena
Coprococcus_3,0.00606872158699342,Mature,Hyena
Coriobacteriales_unclass,0.017282561598596,Immature,Hyena
Coriobacteriales_unclass,0.0123419769771084,Mature,Hyena
Desemzia,0.00826897659125913,Immature,Hyena
Desemzia,NA,Mature,Hyena
Eggerthellaceae,0.00178414730502729,Immature,Hyena
Eggerthellaceae,0.00200608406900079,Mature,Hyena
Enterococcus,0.0549699425795857,Immature,Hyena
Enterococcus,0.0423780463509605,Mature,Hyena
Erysipelotrichaceae,0.0286501287134841,Immature,Hyena
Erysipelotrichaceae,0.0268650575690346,Mature,Hyena
Escherichia/Shigella,0.00369209258632178,Immature,Hyena
Escherichia/Shigella,0.0021498185020747,Mature,Hyena
Faecalitalea,0.0111654851242167,Immature,Hyena
Faecalitalea,0.0114730772420579,Mature,Hyena
Fusobacterium,0.0411282364978281,Immature,Hyena
Fusobacterium,0.03597640394157,Mature,Hyena
Hathewaya,0.00764816615144862,Immature,Hyena
Hathewaya,0.0109491991748994,Mature,Hyena
Lachnospiraceae,0.118106910475858,Immature,Hyena
Lachnospiraceae,0.141956199071304,Mature,Hyena
Lactobacillus,0.0041381294125786,Immature,Hyena
Lactobacillus,0.0103214309220283,Mature,Hyena
Lysinibacillus,0.00219377296179376,Immature,Hyena
Lysinibacillus,NA,Mature,Hyena
Methanobrevibacter,0.00735869735400031,Immature,Hyena
Methanobrevibacter,0.00461662012760194,Mature,Hyena
Methanosphaera,0.00187335467027865,Immature,Hyena
Methanosphaera,NA,Mature,Hyena
Micrococcaceae,0.0489038417424929,Immature,Hyena
Micrococcaceae,0.0506181318478611,Mature,Hyena
Mogibacterium,0.00285281512956915,Immature,Hyena
Mogibacterium,0.00279057302815985,Mature,Hyena
Paeniclostridium,0.0316649735472854,Immature,Hyena
Paeniclostridium,0.0251343415206867,Mature,Hyena
Peptoclostridium,0.0606173149675394,Immature,Hyena
Peptoclostridium,0.0428378784797678,Mature,Hyena
Peptococcus,0.00652306101419672,Immature,Hyena
Peptococcus,0.0062806339544412,Mature,Hyena
Peptoniphilus,0.054685935457561,Immature,Hyena
Peptoniphilus,0.0557527271911606,Mature,Hyena
Peptostreptococcaceae,0.00364111694903529,Immature,Hyena
Peptostreptococcaceae,0.00622927914673102,Mature,Hyena
Peptostreptococcus,0.00684894098113537,Immature,Hyena
Peptostreptococcus,0.00925035852444061,Mature,Hyena
Planococcaceae,0.040090518167353,Immature,Hyena
Planococcaceae,0.0386078951228575,Mature,Hyena
Prevotellaceae_UCG-003,0.00513215433966524,Immature,Hyena
Prevotellaceae_UCG-003,0.00857359660444373,Mature,Hyena
Romboutsia,0.0038286344719106,Immature,Hyena
Romboutsia,0.0025801363735773,Mature,Hyena
Ruminococcaceae,0.00265983593127028,Immature,Hyena
Ruminococcaceae,0.00392864278982927,Mature,Hyena
Ruminococcaceae_UCG-005,0.00205176940078138,Immature,Hyena
Ruminococcaceae_UCG-005,0.00197066696023515,Mature,Hyena
Ruminococcaceae_UCG-014,0.00487909671170728,Immature,Hyena
Ruminococcaceae_UCG-014,0.0169889967897342,Mature,Hyena
Rummeliibacillus,0.00225749250840188,Immature,Hyena
Rummeliibacillus,NA,Mature,Hyena
Slackia,0.00890981317428934,Immature,Hyena
Slackia,0.0106457926098071,Mature,Hyena
Solibacillus,0.00435659642952072,Immature,Hyena
Solibacillus,0.00561921944824277,Mature,Hyena
Sporosarcina,0.00390327736936583,Immature,Hyena
Sporosarcina,0.00828819373630723,Mature,Hyena
Streptococcus,0.0182456370316158,Immature,Hyena
Streptococcus,0.0129735820834291,Mature,Hyena
Terrisporobacter,0.00511941043034361,Immature,Hyena
Terrisporobacter,0.00250369444715812,Mature,Hyena
Tyzzerella_3,0.00211913006433854,Immature,Hyena
Tyzzerella_3,0.00236350172496077,Mature,Hyena
Gallicola,NA,Immature,Hyena
Gallicola,0.00319521349580735,Mature,Hyena
Holdemanella,NA,Immature,Hyena
Holdemanella,0.00301458624110256,Mature,Hyena
Kurthia,NA,Immature,Hyena
Kurthia,0.0032105609096058,Mature,Hyena
Mycoplasmataceae,NA,Immature,Hyena
Mycoplasmataceae,0.00212709252395008,Mature,Hyena
Olsenella,NA,Immature,Hyena
Olsenella,0.00202231691051838,Mature,Hyena
Rikenellaceae_RC9_gut,NA,Immature,Hyena
Rikenellaceae_RC9_gut,0.00301576681139475,Mature,Hyena
g__Bacteroides,0.0796574088646285,Immature,Koala
g__Bacteroides,0.0323313031773079,Mature,Koala
g__Colidextribacter,0.0277170806861762,Immature,Koala
g__Colidextribacter,0.044335807545066,Mature,Koala
g__Desulfovibrio,0.00855980849354328,Immature,Koala
g__Desulfovibrio,NA,Mature,Koala
