genus,abundance,maturity,species
Quadrisphaera,0.00260474548758253,Mature,Warbler
Rhodococcus,0.00351662658163204,Immature,Warbler
Rhodococcus,0.00176801985465513,Mature,Warbler
Rickettsia,8.6729081778474e-4,Immature,Warbler
Rickettsia,0.00102505921494922,Mature,Warbler
Rickettsiella,0.00594255364678643,Immature,Warbler
Rickettsiella,0.01926496208216,Mature,Warbler
Rikenella,9.962880011868e-4,Immature,Warbler
Rikenella,8.088372136346e-4,Mature,Warbler
Robinsoniella,9.1887497383998e-4,Immature,Warbler
Robinsoniella,0.00187398488984622,Mature,Warbler
Romboutsia,9.534606419512e-4,Immature,Warbler
Romboutsia,0.00156167842625303,Mature,Warbler
Roseomonas,0.00175658400741046,Immature,Warbler
Roseomonas,0.00146561222751033,Mature,Warbler
Rothia,0.00186092970396729,Immature,Warbler
Rothia,0.00153578073237144,Mature,Warbler
Rubellimicrobium,0.00100592783634121,Immature,Warbler
Rubellimicrobium,NA,Mature,Warbler
Rubrobacter,0.00120358125027043,Immature,Warbler
Rubrobacter,0.00171801429340845,Mature,Warbler
Ruminiclostridium 5,8.5375089665184e-4,Immature,Warbler
Ruminiclostridium 5,0.00112795597611203,Mature,Warbler
Serratia,0.0160741675671205,Immature,Warbler
Serratia,0.0189884886759685,Mature,Warbler
Singulisphaera,0.00161824133496558,Immature,Warbler
Singulisphaera,0.00121638801685578,Mature,Warbler
Solirubrobacter,6.582314920316e-4,Immature,Warbler
Solirubrobacter,NA,Mature,Warbler
Sphingomonas,0.00248626801802929,Immature,Warbler
Sphingomonas,0.004245724186638,Mature,Warbler
Staphylococcus,0.0082135810707193,Immature,Warbler
Staphylococcus,0.00366397577816817,Mature,Warbler
Stenotrophomonas,0.00718925660240404,Immature,Warbler
Stenotrophomonas,0.00895777123496751,Mature,Warbler
Streptomyces,0.00289908843952703,Immature,Warbler
Streptomyces,9.6864315260773e-4,Mature,Warbler
Tsukamurella,0.00251011005306766,Immature,Warbler
Tsukamurella,0.00110724512642111,Mature,Warbler
Tyzzerella 3,8.0231391365239e-4,Immature,Warbler
Tyzzerella 3,7.1465215908781e-4,Mature,Warbler
Weissella,7.8928909821476e-4,Immature,Warbler
Weissella,NA,Mature,Warbler
Williamsia,0.00273241495384211,Immature,Warbler
Williamsia,0.0014975186246973,Mature,Warbler
Xanthomonas,0.00140403095225971,Immature,Warbler
Xanthomonas,NA,Mature,Warbler
endosymbionts6,0.0225449988976738,Immature,Warbler
endosymbionts6,0.00231895767809093,Mature,Warbler
metagenome,0.00111159809040017,Immature,Warbler
metagenome,0.00117834507161224,Mature,Warbler
uncultured,0.0457106265716243,Immature,Warbler
uncultured,0.0458992426294305,Mature,Warbler
uncultured Chloroflexi bacterium,0.00101306572954714,Immature,Warbler
uncultured Chloroflexi bacterium,NA,Mature,Warbler
uncultured bacterium,0.0169682438810594,Immature,Warbler
uncultured bacterium,0.0158994307438501,Mature,Warbler
uncultured soil bacterium,0.00447950629915396,Immature,Warbler
uncultured soil bacterium,0.00434144337819893,Mature,Warbler
Candidatus Xiphinematobacter,NA,Immature,Warbler
Candidatus Xiphinematobacter,0.00115840129042839,Mature,Warbler
Cellulosilyticum,NA,Immature,Warbler
Cellulosilyticum,0.00187376572741563,Mature,Warbler
Chryseobacterium,NA,Immature,Warbler
Chryseobacterium,0.00194517615271676,Mature,Warbler
Deinococcus,NA,Immature,Warbler
Deinococcus,0.00157992369859979,Mature,Warbler
GCA-900066225,NA,Immature,Warbler
GCA-900066225,8.6591076326786e-4,Mature,Warbler
Jatrophihabitans,NA,Immature,Warbler
Jatrophihabitans,7.2904382536333e-4,Mature,Warbler
Leuconostoc,NA,Immature,Warbler
Leuconostoc,0.00198995834270101,Mature,Warbler
Mesorhizobium,NA,Immature,Warbler
Mesorhizobium,0.00114404615122463,Mature,Warbler
Pectobacterium,NA,Immature,Warbler
Pectobacterium,0.00101061275806604,Mature,Warbler
Planctomicrobium,NA,Immature,Warbler
Planctomicrobium,7.0248864418997e-4,Mature,Warbler
Pseudokineococcus,NA,Immature,Warbler
Pseudokineococcus,7.3775553197936e-4,Mature,Warbler
SH-PL14,NA,Immature,Warbler
SH-PL14,7.7828231810294e-4,Mature,Warbler
Vulcaniibacterium,NA,Immature,Warbler
Vulcaniibacterium,8.5582929146064e-4,Mature,Warbler
Wolbachia,NA,Immature,Warbler
Wolbachia,9.4681822722797e-4,Mature,Warbler
[Eubacterium] brachy group,NA,Immature,Warbler
[Eubacterium] brachy group,6.9695479281753e-4,Mature,Warbler
